JobTitle,About,Skills,WhoCanApply,OtherReq,Salary
Database Specialist,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 10,00,000 - 18,00,000 /year"
SAP FICO Consultant,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 10,00,000 - 18,00,000 /year"
BACKUP ENGINEER,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 10,00,000 - 18,00,000 /year"
Senior Project Manager EPC Solar,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 10,00,000 - 17,00,000 /year"
Lead Python & Groovy Framework Developer,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 10,00,000 - 16,00,000 /year"
Subject Matter Expert ETL Developer,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 10,00,000 - 16,00,000 /year"
Subject Matter Expert ETL Developer,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 10,00,000 - 16,00,000 /year"
Full Stack Data Engineer,"We're looking for a skilled Full Stack Data Platform Engineer who thrives at the intersection of software development, modern data infrastructure, and internal tools.
You'll help architect and build robust APIs, manage databases like PostgreSQL and Supabase, and contribute to the frontend when needed all while enabling automation and actionable business insights.
This role combines backend craftsmanship with data intuition to power internal tools, data reporting pipelines, and intelligent automation systems.

Key responsibilities:

A. Application & API Development
1. Design and maintain scalable backend services using Python (Django).
2. Build and optimize RESTful or GraphQL APIs for internal and external use.
3. Integrate and manage PostgreSQL/Supabase databases.
4. Occasionally contribute to frontend tasks (React, Vue, or basic HTML/CSS/JS).
5. Ensure performance, security, and reliability across the stack.

B. Database Engineering
1. Design and normalize database schemas for scale and performance.
2. Implement backup, restore, and security protocols.
3. Monitor and optimize query performance for large-scale datasets.

C. API & System Integration
1. Develop and document APIs for seamless service-to-service data exchange.
2. Integrate with third-party and internal tools using OAuth, JWT, etc.
3. Maintain version control and backward compatibility.

D. Data Reporting & Analytics
1. Build automated and ad-hoc data reports and dashboards.
2. Translate business goals into metrics, KPIs, and analytics pipelines.
3. Conduct exploratory data analysis (EDA) to uncover trends and anomalies.

E. Automation & Internal Tooling
1. Identify manual workflows and automate them using code or no-code tools.
2. Work with cross-functional teams to scale internal processes.
3. Build end-to-end automation from data ingestion to insights delivery.","APIs
Django
ETL processes
Frontend development
Git
PostgreSQL
Python
SQL
Earn certifications in these skills
Learn Bootstrap
Learn CSS
Learn HTML
Learn Python
Learn AngularJS
Learn Angular
Learn Git
Learn Git SVN
Learn MySQL
Learn SQL
Learn PostgreSQL
Learn MS SQL Server
Learn ReactJS","Only those candidates can apply who:

1. have minimum 1 years of experience

2. are from Pune only","1. Strong experience with Python and Django for backend development.

2. Deep knowledge of PostgreSQL, Supabase, or equivalent platforms.

3. Proficiency in SQL, schema design, and database performance tuning.

4. Experience with API development and authentication standards (OAuth/JWT).

5. Familiarity with frontend frameworks (React, Vue, JS/HTML/CSS).

6. Experience in ETL design, data modeling, and analytics reporting.

7. Comfort with Git, CI/CD, and agile development workflows.

8. DevOps: Familiarity with Docker, Gunicorn, Nginx, etc.

9. Linux/Ubuntu: Server maintenance, shell scripting, and log analysis.

10. Data Visualization: Metabase, Redash, or building custom dashboards.

11. Cloud Platforms: Experience with AWS, GCP, or Vercel deployments.

12. Excellent communication and async collaboration abilities.

13. Self-starter with strong problem-solving and an ownership mindset.

14. Ability to translate technical solutions into business value.

15. Passion for clean code, system scalability, and impactful automation","Annual CTC: ₹ 10,00,000 - 15,00,000 /year

Perks
Informal dress code
5 days a week
Free snacks & beverages"
3D Printing Trainee - Fresher,"Are you passionate about 3D printing and eager to learn and grow in a dynamic and innovative environment? Axe Consultancy And Security Services LLC is seeking a talented and motivated individual to join our team as a 3D Printing Trainee. If you have experience with AutoCAD, Rhino, Autodesk Fusion 360, SolidWorks, Autodesk 3ds Max, Autodesk Maya, Arduino, and Rapid Prototyping, we want to hear from you!

Key Responsibilities:
1. Work closely with our design team to create 3D models and prototypes using a variety of software programs
2. Assist in the development and implementation of new 3D printing processes and technologies
3. Collaborate with engineers and product developers to optimize designs for 3D printing
4. Troubleshoot and resolve any technical issues that may arise during the 3D printing process
5. Participate in training sessions and workshops to further enhance your skills and knowledge in the field
6. Keep up to date with the latest trends and advancements in 3D printing technology
7. Contribute to the overall success of the team by completing projects on time and to a high standard.

If you are ready to take the next step in your career and make a real impact in the world of 3D printing, apply now to join our innovative team at Axe Consultancy And Security Services LLC!",NULL,NULL,NULL,"Annual CTC: ₹ 10,00,000 - 15,00,000 /year"
Manager - Sales (METRO Cash & Carry India),NULL,NULL,NULL,NULL,"Annual CTC: ₹ 10,00,000 - 15,00,000 /year"
Business Growth Strategist,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 10,00,000 - 15,00,000 /year"
Market Growth Analyst,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 10,00,000 - 15,00,000 /year"
Azure/Intune Tech /Sales Support@ Gurgaon-wfo,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 10,00,000 - 15,00,000 /year"
Chief Financial Officer,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 10,00,000 - 15,00,000 /year"
Head Of Digital Marketing-Gitgeeks,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 10,00,000 - 15,00,000 /year"
Sr.Manager Finance & Accounts,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 10,00,000 - 15,00,000 /year"
Branch Sales Manager - Genset Industry,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 10,00,000 - 15,00,000 /year"
Manager - Accounts & Finance,NULL,NULL,NULL,NULL,"Annual CTC: ₹ 10,00,000 - 15,00,000 /year"
Business Development Manager,"As a business development manager at Coceptual Media, you will play a pivotal role in driving our international growth, with a special focus on the French-speaking market. Leveraging your fluency in French and English, along with your strong communication and organizational skills, you will manage the entire business development cycle - from identifying leads to closing deals and building long-term client relationships. Your proficiency in lead management, email communication, and the MS Office Suite, particularly PowerPoint, will enable you to deliver compelling pitches and presentations. You will also be responsible for managing generated leads, nurturing them through the funnel, and converting them into successful partnerships.

Key Responsibilities:

1. Identify and pursue new business opportunities with a focus on the French demographic
2. Manage and nurture inbound and outbound leads through the sales pipeline
3. Drive client acquisition and ensure the successful closure of deals
4. Build and maintain strong, long-term relationships with clients and strategic partners
5. Develop and deliver persuasive business presentations using MS PowerPoint
6. Conduct market and competitor analysis to identify trends, insights, and growth opportunities
7. Collaborate with internal teams to ensure timely and successful project execution
8. Monitor industry developments and competitor strategies to stay ahead of the curve
9. Contribute to sales strategy, reporting, and documentation using Excel, Word, and Outlook

This role demands a proactive mindset, strategic thinking, and the ability to lead initiatives that directly contribute to the company's international expansion goals.","Effective Communication
Email Management
English Proficiency (Spoken)
English Proficiency (Written)
French Proficiency (spoken)
French Proficiency (written)
Interpersonal skills
Leadership
MS-Excel
MS-PowerPoint
MS-Word
Team Management
Teamwork
Earn certifications in these skills
Learn Effective Communication
Learn Business Communication
Learn French
Learn Interpersonal skills
Learn Leadership
Learn MS-Excel
Learn Networking","Only those candidates can apply who:

1. have minimum 1 years of experience","1. Fluent in French and English – Exceptional written and verbal communication skills in both languages are essential

2. Minimum 1 year of experience in business development, sales, or client acquisition, preferably in the tech & communications industry

3. Proven experience in lead management and client conversion using CRM tools or sales tracking systems

4. Strong background in handling international clients, especially from French-speaking regions (France, Belgium, Canada, etc.)

5. Proficient in MS Office Suite – especially PowerPoint, Excel, Outlook, and Word

6. Experience in preparing and delivering engaging pitches and proposals to high-value clients

7. Demonstrated ability to analyze market trends and competitor strategies

8. A proactive and self-motivated individual with strong negotiation and closure skills

9. Prior experience in working with cross-functional teams and managing project execution timelines

10. Master's degree in business administration & marketing or a related field

11. Strong interpersonal and team management skills to lead initiatives","Annual CTC: ₹ 10,00,000 - 13,50,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 9,00,000 - 12,00,000 /year

2. Variable pay: ₹ 1,00,000 - 1,50,000 /year

Perks
Informal dress code
5 days a week"
Product Manager,"Key responsibilities:

1. Drive roadmap & strategy: Define outcomes, prioritize features, and maintain a transparent roadmap aligned to company goals.
2. Ship features end-to-end: Author PRDs, align stakeholders, run sprint rituals, and launch features, owning everything from start to finish. Communicate clearly and often weekly status, post-launch readouts, and roadmap updates for stakeholders.
3. Own discovery: Meet regularly with customers; synthesize qualitative insights and quantitative data into actionable problem statements and specs.
4. Understand the ecosystem: Perform market/competitor research; maintain a living landscape of messaging/CRM/conversational AI players and opportunities.
5. Measure & iterate: Instrument analytics, set success metrics, and iterate quickly based on performance and user feedback. Build and maintain KPIs (e.g., activation, time-to-value, qualification rate, message delivery/quality rating, WA template approval, churn/expansion).
6. Cross-functional leadership: Manage a team of engineers and designers to manage scope, make trade-offs, keep blockers visible, and decisions documented.
7. Collaborate with Design to produce wireframes/prototypes and validate with stakeholders before committing to code.
8. Quality & execution: Drive acceptance criteria, edge-case handling, and UAT; ensure accessibility, reliability, and performance are non-negotiable.
9. Evangelize the product: Communicate vision, decisions, and outcomes to internal teams, customers, and partners.","Jira
LLM evaluation
Product Management
SQL
Earn certifications in these skills
Learn MS SQL Server
Learn MySQL
Learn PostgreSQL
Learn Product Management
Learn Product Strategy
Learn SQL","Only those candidates can apply who:

1. have minimum 1 years of experience","1. Product Management experience. preferably in B2B SaaS, owning meaningful product scopes from conception to launch and iteration.

2. Strong data fluency: comfortable defining metrics, writing tracking specs, exploring data, and making trade-offs from evidence.

3. Demonstrated cross-functional leadership with Engineering and Design; you’ve shipped multi-team features on time and to quality.

4. Excellent written communication (PRDs, specs, release notes) and verbal communication (stakeholder alignment, customer calls).

5. An eye for UX and systems thinking - able to simplify flows without losing power.

6. Familiarity with Agile practices and backlog/roadmap management.

7. Knowledge of working with AI/LLMs (prompting, guardrails, evaluation, conversation design, agentic workflows).

8. Technical understanding of building full stack applications and cloud basics.

9. Coding experience in any programming language. preferably Python","Annual CTC: ₹ 10,00,000 - 13,00,000 /year

Perks
Informal dress code"
